,Tm,Att,Yds,TD,Season,Rank,Team
0,Tampa Bay Buccaneers,470,2285,15,2010,1,TB
1,Kansas City Chiefs,459,2244,17,2010,2,KC
2,Oakland Raiders,467,2227,19,2010,3,OAK
3,Buffalo Bills,443,2087,19,2010,4,BUF
4,Cleveland Browns,446,2004,15,2010,5,CLE
5,St. Louis Rams,447,1955,22,2010,6,STL
6,Indianapolis Colts,426,1908,9,2010,7,IND
7,Detroit Lions,406,1902,15,2010,8,DET
8,Denver Broncos,417,1898,11,2010,9,DEN
9,New Orleans Saints,391,1765,18,2010,10,NO
10,Carolina Panthers,397,1759,14,2010,11,CAR
11,Chicago Bears,407,1752,12,2010,12,CHI
12,Seattle Seahawks,394,1670,17,2010,13,SEA
13,Arizona Cardinals,355,1658,11,2010,14,ARI
14,Jacksonville Jaguars,389,1642,9,2010,15,JAC
15,San Diego Chargers,365,1640,9,2010,16,SD
16,New England Patriots,347,1593,5,2010,17,NE
17,Washington Redskins,385,1581,9,2010,18,WAS
18,New York Giants,376,1566,18,2010,19,NYG
19,Miami Dolphins,376,1548,11,2010,20,MIA
20,Tennessee Titans,332,1505,14,2010,21,TEN
21,Philadelphia Eagles,366,1475,10,2010,22,PHI
22,Houston Texans,319,1368,15,2010,23,HOU
23,New York Jets,365,1361,10,2010,24,NYJ
24,San Francisco 49ers,365,1356,9,2010,25,SF
25,Atlanta Falcons,350,1312,8,2010,26,ATL
26,Cincinnati Bengals,339,1306,7,2010,27,CIN
27,Dallas Cowboys,324,1298,6,2010,28,DAL
28,Baltimore Ravens,364,1245,6,2010,29,BAL
29,Green Bay Packers,333,1182,4,2010,30,GB
30,Minnesota Vikings,302,1172,5,2010,31,MIN
31,Pittsburgh Steelers,321,1139,5,2010,32,PIT
32,Arizona Cardinals,464,2165,19,2011,1,ARI
33,Buffalo Bills,472,2135,16,2011,2,BUF
34,Denver Broncos,458,2049,21,2011,3,DEN
35,Tampa Bay Buccaneers,388,1909,11,2011,4,TB
36,Cleveland Browns,451,1867,6,2011,5,CLE
37,Oakland Raiders,419,1836,12,2011,6,OAK
38,Carolina Panthers,447,1804,19,2011,7,CAR
39,Indianapolis Colts,390,1791,12,2011,8,IND
40,Washington Redskins,379,1756,12,2011,9,WAS
41,Seattle Seahawks,403,1752,12,2011,10,SEA
42,Jacksonville Jaguars,370,1747,18,2011,11,JAC
43,Detroit Lions,372,1652,16,2011,12,DET
44,Cincinnati Bengals,365,1623,14,2011,13,CIN
45,St. Louis Rams,351,1592,7,2011,14,STL
46,Tennessee Titans,413,1590,6,2011,15,TEN
47,Dallas Cowboys,344,1525,9,2011,16,DAL
48,Kansas City Chiefs,352,1512,9,2011,17,KC
49,New Orleans Saints,372,1490,11,2011,18,NO
50,Houston Texans,359,1486,14,2011,19,HOU
51,Philadelphia Eagles,363,1461,11,2011,20,PHI
